"X.OTU.ID","F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150"
"Otu1",502,350,3048,856,266,904,585,237,423,405,246,179,340,512,276,1329,754,772,264
"Otu10",20,124,63,206,77,55,15,22,32,199,53,92,309,404,215,588,474,570,65
"Otu100",10,0,3,0,0,0,0,0,0,5,6,6,0,6,16,14,13,9,5
"Otu101",3,4,36,21,16,12,3,2,2,2,1,1,1,1,1,5,1,8,3
"Otu102",3,7,7,4,8,2,2,16,9,5,1,0,1,0,3,1,5,10,2
"Otu103",1,0,2,0,2,3,4,11,14,6,2,3,4,3,3,0,11,16,2
"Otu104",0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,16,6,38,22
"Otu105",1,0,5,5,3,19,16,14,12,0,0,1,0,3,0,2,1,2,2
"Otu106",16,9,14,0,5,13,1,11,13,2,1,0,2,1,12,13,11,12,7
"Otu107",26,15,30,12,3,14,5,8,9,0,0,0,0,1,1,0,1,0,0
"Otu108",8,7,13,1,2,5,2,5,6,0,0,1,1,2,0,0,5,1,1
"Otu109",1,5,20,3,4,3,1,3,10,3,0,4,1,1,2,5,8,14,4
"Otu11",54,129,338,94,48,424,113,147,181,12,110,44,16,26,4,156,18,90,64
"Otu110",19,6,6,0,2,1,6,4,5,1,0,0,2,0,0,6,3,3,2
"Otu111",5,3,8,0,1,4,0,4,8,1,1,1,3,1,1,7,5,5,2
"Otu112",19,5,10,1,8,3,1,3,7,3,0,1,2,1,10,6,5,3,3
"Otu113",0,0,0,0,0,0,0,0,0,0,3,8,3,17,1,11,9,3,1
"Otu114",8,3,1,1,0,1,0,0,2,2,0,0,8,6,5,2,4,13,8
"Otu115",4,9,10,1,3,3,1,4,5,0,1,2,0,3,3,4,4,7,2
"Otu116",1,0,0,0,0,3,0,1,1,3,4,2,0,4,2,6,16,9,1
"Otu117",1,3,8,0,9,8,0,2,18,0,0,0,0,0,0,0,1,0,0
"Otu118",0,2,3,1,1,1,0,3,1,3,3,0,1,3,2,5,9,8,5
"Otu119",10,6,9,3,4,6,0,5,4,0,0,0,1,1,11,3,2,3,1
"Otu12",81,0,17,24,33,1,2,6,1,104,51,39,115,117,36,315,280,181,30
"Otu120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu121",5,3,21,0,1,4,2,1,10,0,0,0,0,0,2,0,2,0,0
"Otu122",5,5,9,0,6,10,0,8,5,1,3,1,0,2,15,23,6,10,10
"Otu123",3,7,16,1,3,0,1,2,4,4,0,0,0,0,4,6,4,4,5
"Otu124",0,0,1,0,3,2,0,7,8,2,0,1,1,3,4,5,4,7,0
"Otu125",0,0,0,11,4,3,0,0,1,1,1,0,1,3,0,11,2,7,2
"Otu126",7,0,5,0,0,2,0,3,1,1,3,1,4,5,0,4,4,7,6
"Otu127",3,3,10,3,4,2,2,2,1,2,0,1,3,3,4,12,8,12,7
"Otu128",6,0,3,7,1,1,1,3,1,2,2,0,1,0,1,3,9,3,4
"Otu129",22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,4,2
"Otu13",92,327,365,48,87,58,40,45,99,33,10,7,11,15,25,73,53,42,19
"Otu130",5,1,9,0,5,4,1,10,10,3,0,3,1,4,2,5,8,4,3
"Otu131",1,4,10,1,0,4,1,4,4,0,1,0,1,0,2,3,0,1,0
"Otu132",0,3,6,2,1,2,2,4,5,2,0,2,0,1,2,9,3,3,2
"Otu133",11,0,3,0,0,8,3,3,10,0,0,0,0,0,1,1,1,1,0
"Otu134",1,4,5,0,1,4,2,4,14,1,1,0,0,0,1,1,1,1,1
"Otu135",0,0,1,0,0,0,0,4,2,2,2,3,0,2,5,11,7,6,2
"Otu136",5,0,1,0,0,1,0,1,1,3,1,2,1,1,2,3,3,7,2
"Otu137",4,0,5,2,3,7,1,2,9,0,0,0,0,4,6,7,0,1,1
"Otu138",3,1,3,0,2,9,0,0,2,1,0,0,0,0,4,0,0,5,1
"Otu139",0,0,1,0,0,1,0,0,2,6,0,1,2,3,0,3,2,9,0
"Otu14",66,105,433,402,19,71,39,20,43,6,6,4,6,5,4,40,54,4,5
"Otu140",2,1,2,1,1,3,0,3,6,0,0,1,0,0,1,0,0,1,0
"Otu141",5,6,3,6,0,4,1,2,1,0,0,0,0,2,0,0,1,0,0
"Otu142",0,0,0,0,0,0,0,0,0,2,2,3,3,4,2,4,6,3,2
"Otu143",3,1,5,4,0,3,2,11,6,0,5,0,0,1,0,3,2,0,0
"Otu144",5,0,0,0,0,0,0,1,2,0,1,2,2,7,3,2,4,0,3
"Otu145",0,3,5,1,1,3,1,3,5,0,1,0,0,0,3,1,0,0,0
"Otu146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu147",4,11,4,0,1,2,0,9,5,0,1,0,0,0,0,0,0,0,0
"Otu148",0,1,2,2,0,2,0,1,3,1,0,1,1,0,2,3,1,2,1
"Otu149",0,4,4,2,1,1,0,1,2,3,0,0,1,3,2,2,1,1,1
"Otu15",318,71,252,51,78,83,25,72,66,76,14,20,25,22,29,106,43,103,54
"Otu150",3,3,1,0,1,0,0,2,2,1,0,1,1,3,3,6,4,3,0
"Otu151",2,2,3,2,1,3,0,1,2,1,0,1,0,0,1,0,1,2,0
"Otu152",0,0,0,0,0,0,0,0,0,4,1,1,2,2,1,3,1,4,2
"Otu153",2,4,3,0,1,0,0,1,1,2,0,1,3,0,0,2,0,3,1
"Otu154",2,4,1,1,1,1,1,3,3,0,0,0,0,0,2,4,0,1,0
"Otu155",11,1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"Otu156",1,0,4,0,5,1,0,0,0,2,0,0,0,2,0,1,0,1,1
"Otu157",0,0,0,0,2,0,1,0,0,1,4,1,1,0,0,4,5,2,0
"Otu158",10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu159",0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,1,1,3,1
"Otu16",58,24,158,85,33,34,19,15,29,32,23,14,36,75,25,101,100,95,36
"Otu160",1,5,3,0,1,1,0,0,1,0,0,0,1,2,0,0,2,1,1
"Otu161",1,0,0,1,0,0,1,2,2,1,2,0,0,0,1,4,2,0,0
"Otu162",0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,13,7,4,0
"Otu163",2,1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,1,4,0
"Otu164",0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,1,5,2
"Otu165",3,5,3,0,1,1,0,1,0,49,3,22,3,3,10,17,19,82,44
"Otu166",2,0,1,0,0,1,0,1,1,1,2,1,0,0,1,1,0,1,1
"Otu167",0,0,0,2,0,1,1,0,4,2,1,1,0,0,1,0,0,1,0
"Otu168",1,0,2,0,0,0,0,1,1,1,3,0,0,0,0,3,0,0,0
"Otu169",0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,2,2,1,0
"Otu17",42,14,18,1,7,5,2,5,4,89,32,64,13,12,77,80,99,273,145
"Otu170",0,2,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Otu171",8,1,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,2,1
"Otu172",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,4
"Otu173",4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Otu174",0,0,1,0,0,2,2,1,1,0,0,2,1,2,0,3,1,0,0
"Otu175",3,0,2,1,3,0,0,0,1,0,1,0,0,1,1,2,0,0,1
"Otu176",0,0,7,1,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0
"Otu177",0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0
"Otu178",0,1,6,3,2,5,1,0,4,2,1,2,1,0,2,4,4,8,7
"Otu179",0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0
"Otu18",44,54,31,138,10,30,39,117,29,48,6,12,46,39,19,171,116,158,19
"Otu180",4,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2
"Otu181",3,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"Otu182",0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,1,3,6,1
"Otu183",0,0,0,0,0,2,0,3,2,0,0,0,1,0,0,1,0,2,0
"Otu184",42,40,101,11,0,2,1,2,2,6,0,1,0,1,7,8,6,17,4
"Otu185",15,5,13,2,6,10,1,13,5,5,1,5,5,3,6,9,3,4,10
"Otu186",2,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0
"Otu187",11,12,15,2,7,35,1,6,11,5,2,2,2,5,7,62,14,22,4
"Otu188",15,2,29,6,23,17,10,18,35,5,1,2,6,6,8,11,19,18,6
"Otu189",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,1
"Otu19",72,70,338,40,58,63,12,58,44,7,3,4,3,5,20,8,12,8,6
"Otu190",0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0
"Otu191",3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"Otu192",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3
"Otu193",94,19,43,7,12,15,9,18,16,23,3,6,10,3,3,2,12,11,3
"Otu194",0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Otu195",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Otu196",4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,1
"Otu197",1,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"Otu198",10,21,82,16,34,37,30,39,53,9,1,2,4,5,8,10,9,19,7
"Otu199",3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
"Otu2",329,324,1576,590,247,658,477,338,396,353,293,163,263,463,220,1194,730,766,221
"Otu20",111,274,590,20,93,78,29,54,106,15,6,2,7,8,46,28,51,43,24
"Otu200",0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"Otu201",1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"Otu202",5,10,22,4,4,11,1,5,7,9,7,7,4,10,1,33,18,13,5
"Otu203",0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
