"X.OTU.ID","Kingdom","phylum","class","order","family","genus"
"Otu1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu10","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu101","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu102","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu103","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu104","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu105","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu106","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu107","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu108","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu109","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu11","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"Otu110","Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu111","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu112","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu113","Bacteria","other","other","other","other","other"
"Otu114","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu115","Bacteria","Firmicutes","other","other","other","other"
"Otu116","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu117","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu118","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu119","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu12","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","other","other"
"Otu120","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Luteovulum"
"Otu121","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu122","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu123","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"Otu124","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu125","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu126","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu127","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia"
"Otu128","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu129","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Otu13","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu130","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus"
"Otu131","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu132","Bacteria","other","other","other","other","other"
"Otu133","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"Otu134","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu135","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu136","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu137","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu138","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu139","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter"
"Otu14","Bacteria","other","other","other","other","other"
"Otu140","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu141","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu142","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","other"
"Otu143","Bacteria","Cyanobacteria","Chloroplast","Chloroplast","Streptophyta","other"
"Otu144","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu145","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu146","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu147","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu148","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","other"
"Otu149","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu15","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu150","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu151","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu152","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu153","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu154","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu155","Bacteria","Firmicutes","other","other","other","other"
"Otu156","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu157","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu158","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia"
"Otu159","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu16","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum"
"Otu160","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu161","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum"
"Otu162","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu163","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu164","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu165","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu166","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu167","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu168","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter"
"Otu169","Bacteria","other","other","other","other","other"
"Otu17","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu170","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu171","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu172","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu173","Bacteria","Firmicutes","other","other","other","other"
"Otu174","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu175","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu176","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu177","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu178","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu179","Bacteria","other","other","other","other","other"
"Otu18","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"Otu180","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu181","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu182","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu183","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu184","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu185","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu186","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu187","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu188","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu189","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu19","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu190","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu191","Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu192","Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu193","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu194","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu195","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
"Otu196","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu197","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu198","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu199","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu20","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu200","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu201","Bacteria","Firmicutes","Clostridia","Clostridiales","other","other"
"Otu202","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu203","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu204","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu205","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu206","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu207","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","other","other"
